Keyword,Frequency
좋다,3298
있다,1650
친절하다,1328
깨끗하다,872
없다,485
깔끔하다,467
같다,442
편하다,338
이다,326
넓다,277
조용하다,251
아쉽다,221
많다,212
따뜻하다,205
가깝다,189
만족하다,178
예쁘다,164
불편하다,150
괜찮다,142
아니다,141
그렇다,132
즐겁다,121
청결하다,121
편안하다,114
이쁘다,103
맛있다,94
좋아하다,77
저렴하다,77
재밌다,74
만족스럽다,66
안되다,66
필요하다,64
멀다,57
행복하다,57
덥다,56
넉넉하다,53
가능하다,50
시원하다,48
귀엽다,47
쾌적하다,46
작다,46
급하다,43
오래되다,43
춥다,42
힘들다,42
완벽하다,40
높다,38
한적하다,35
좁다,35
충분하다,34
굉장하다,34
이렇다,34
부족하다,33
재미있다,32
나쁘다,31
인하다,30
멋지다,30
비싸다,30
시끄럽다,29
다르다,25
차갑다,25
심하다,24
아늑하다,24
뜨겁다,23
깊다,22
어렵다,22
더럽다,22
실하다,21
기대하다,21
미치다,21
솔직하다,21
편리하다,20
약하다,20
불친절하다,19
적당하다,18
어떻다,17
끝내주다,17
신나다,17
추하다,16
굳다,16
착하다,16
아름답다,16
훌륭하다,15
푹신하다,15
낡다,15
스럽다,15
계시다,15
간단하다,14
길다,14
예민하다,14
아깝다,14
웬만하다,14
건강하다,14
놀래다,13
뜨끈하다,13
널찍하다,13
무섭다,13
죄송하다,13
멋있다,13
싫다,12
딱딱하다,12
중요하다,12
부탁드리다,12
똑같다,12
쌀쌀하다,11
밤늦다,11
습하다,11
위험하다,10
완전하다,10
지저분하다,10
당연하다,10
상당하다,9
답답하다,9
아프다,9
흔쾌하다,9
이상하다,9
피곤하다,9
아담하다,8
낮다,8
뽀송뽀송하다,8
빠르다,8
아기자기하다,8
반갑다,8
미지근하다,8
찝찝하다,8
다행하다,7
맑다,7
얇다,7
넘치다,7
희다,7
뻔하다,7
꼼꼼하다,7
유명하다,7
전화하다,7
정갈하다,7
멍하다,7
딱이다,7
상쾌하다,7
짧다,6
더하다,6
원하다,6
반하다,6
자세하다,6
가득하다,6
실망하다,6
뿌듯하다,6
근접하다,6
흠잡다,6
바쁘다,6
어둡다,6
미흡하다,6
민망하다,5
헷갈리다,5
섬세하다,5
두껍다,5
유일하다,5
힘드다,5
포근하다,5
젊다,5
박하다,5
특별하다,5
딱하다,5
불안하다,5
비슷하다,5
푸근하다,5
곱다,5
안전하다,4
어떠하다,4
야하다,4
알차다,4
미끄럽다,4
안락하다,4
독특하다,4
평범하다,4
고맙다,4
뽀송하다,4
적절하다,4
확실하다,4
용이하다,4
철저하다,4
여전하다,4
친하다,4
엄청나다,4
부다,4
따끈하다,4
번거롭다,4
색다르다,4
애매하다,4
불쾌하다,4
새롭다,4
평온하다,3
소중하다,3
꼬이다,3
다양하다,3
깊숙하다,3
엔간하다,3
특이하다,3
든든하다,3
쏠쏠하다,3
느리다,3
얕다,3
불가하다,3
성하다,3
눅눅하다,3
뛰어나다,3
마르다,3
소박하다,3
부실하다,3
소소하다,3
비리다,3
잔잔하다,3
은은하다,3
불가능하다,3
시급하다,2
갠차다,2
나긋나긋하다,2
용하다,2
건조하다,2
복잡하다,2
귀찮다,2
야무지다,2
빨르다,2
나란하다,2
자잘하다,2
험하다,2
고요하다,2
고통스럽다,2
정겹다,2
친근하다,2
민감하다,2
까맣다,2
궁금하다,2
당하다,2
덜하다,2
상관없다,2
기쁘다,2
아무렇다,2
유용하다,2
화창하다,2
신선하다,2
안좋다,2
수월하다,2
가볍다,2
흡족하다,2
난감하다,2
싫어하다,2
남짓하다,2
몰지각하다,2
시끌벅적하다,2
자유롭다,2
갑작스럽다,2
환하다,2
무사하다,2
부럽다,2
쓰리다,2
너무하다,2
오붓하다,2
깐깐하다,2
망하다,2
퀴퀴하다,2
익숙하다,2
차디차다,2
시퍼렇다,2
안타깝다,2
고프다,2
성실하다,2
자상하다,1
우아하다,1
차분하다,1
화하다,1
꾸준하다,1
청아하다,1
끊임없다,1
부담스럽다,1
어리둥절하다,1
아슬아슬하다,1
어느새다,1
드물다,1
