부정,점수
가난,-1
가난뱅이,-1
가난살이,-1
가난살이하다,-1
가난설음,-1
가난에,-1
가난에 쪼들려서,-1
가난하게,-1
가난하고,-1
가난하고 어렵다,-1
가난하고 천한,-1
가난하다,-1
가난하여,-1
가난한,-1
가난한 데다가,-1
가난한 사람을,-1
가난히,-1
가년스럽다,-1
가녕스럽다,-1
가누지 못하고,-1
가누지 못하다,-1
가누지 못할,-1
가누지 못할 정도로,-1
가누지 못함,-1
가눌 수 없게,-1
가눌 수 없을,-1
가눌 수 없이,-1
가당찮다,-1
가당찮이,-1
가두거나 해치거나,-1
가망이 없게,-1
가슴 아파하다,-1
가슴 아파함,-1
가슴 아프게,-1
가슴 아프고,-1
가슴 아프다,-1
가슴속에 근심이나,-1
가슴앓이,-1
가슴앓이하다,-1
가슴이 갑갑할,-1
가슴이 괴롭거나,-1
가슴이 그득한,-1
가슴이 답답하고,-1
가슴이 답답하다,-1
가슴이 답답하며,-1
가슴이 아프다,-1
가슴이 아픈,-1
가슴이 울렁거리는,-1
가슴이 울렁거리다,-1
가슴이 찢어질,-1
가엾고 불쌍하다,-1
가엾고 불쌍하여,-1
가엾고 불쌍한,-1
가엾고 불쌍함,-1
가엾고 애처롭다,-1
가음 아프고,-1
가짜,-1
가치 없는,-1
가치가 없다,-1
가치가 없을,-1
가치가 없이,-1
가치없는,-1
가혹하게,-1
가혹하게 착취하여,-1
간 장애,-1
간사한 짓을,-1
감금하여,-1
감정의 불화,-1
강간죄,-1
강개무량,-1
강개무량하다,-1
강제로 누르다,-1
강제로 누름,-1
강제로 빼앗아,-1
강제적으로,-1
강탈,-1
강탈하다,-1
강한 비판이나,-1
개짓하다,-1
거만스럽게,-1
거만을,-1
거만을 떠는,-1
거만을 떨다,-1
거만하게,-1
거만하게 행동하는,-1
거만하게 행동하다,-1
거만하고,-1
거만하다,-1
거만한 태도로,-1
거부감,-1
거부하거나,-1
거북스럽게,-1
거북스럽게 저는,-1
거북스럽게 절다,-1
거북하거나,-1
거북하거나 괴로움,-1
거북하거나 괴롭다,-1
거북하거나 더럽고,-1
거북하게,-1
거북하고,-1
거북하고 불편한,-1
거북하고 주체스럽게,-1
거북하다,-1
거북한,-1
거북한 모양,-1
거북한 상태로,-1
거북한 소리가,-1
거북할,-1
거북할 만큼,-1
거슬려 불쾌하다,-1
거절하거나,-1
거절하거나 싫다는,-1
거절하다,-1
거짓,-1
거짓말,-1
거친,-1
거친 데가,-1
거친 말로,-1
거친 모양,-1
거친 목소리로,-1
거친 성질이나,-1
거친 소리가,-1
거칠거나 사납게,-1
거칠게,-1
거칠게 나는,-1
거칠게 말다툼하다,-1
거칠게 말함,-1
거칠게 몰아쉬는,-1
거칠게 몰아쉬다,-1
거칠게 소리가,-1
거칠게 쉬는,-1
거칠게 울려,-1
거칠게 일다,-1
거칠게 잇따라,-1
거칠게 행동하다,-1
거칠고,-1
거칠고 가쁘게,-1
거칠고 격한,-1
거칠고 깔끄럽게,-1
거칠고 껄끄럽게,-1
거칠고 나쁘다,-1
거칠고 무뚝뚝하다,-1
거칠고 사나우며,-1
거칠고 세차다,-1
거칠고 심하다,-1
거칠고 험하게,-1
거칠고 험한,-1
거칠다,-1
거칠면서,-1
거칠면서 가쁘고,-1
거칠어져,-1
걱정이나 언짢은,-1
건강에 해로운,-1
건방져,-1
건방지게,-1
건방지게 행동하다,-1
건방지네,-1
건방지다,-1
건방지며,-1
건방짐,-1
검사에 불합격한,-1
겁에 지리다,-1
겁에 질려,-1
겁에 질려서,-1
겁에 질리거나,-1
겁이 많고,-1
겁이 많다,-1
겁이 많아,-1
겁이 많은,-1
겁이 많음,-1
겁쟁이,-1
게걸스럽게,-1
게걸스럽게 돌아다니는,-1
게걸스럽게 돌아다니다,-1
게을러빠지다,-1
게을러터지다,-1
격노,-1
격노하다,-1
격분,-1
격분하다,-1
격하게,-1
격하게 되다,-1
격하시키다,-1
격한,-1
격한 감정이,-1
격한 기운이,-1
격한 느낌이,-1
견디기 어렵게,-1
견디기가 어려울,-1
견딜 수 없는,-1
결딴날,-1
결딴날 듯이,-1
결석,-1
결석하다,-1
결핍,-1
결핍증,-1
겹거나,-1
겹게,-1
겹게 여기다,-1
경련을 일으키다,-1
경련이 일어나,-1
경망스러우며 추잡하다,-1
경망스럽게 내흔들거나,-1
경망스럽다,-1
경멸,-1
경멸하다,-1
경멸히,-1
경멸히 여겨,-1
경박스럽게 함부로,-1
경상,-1
경솔하고 방정맞게,-1
계속 부정하다,-1
계속 불평을,-1
고난,-1
고단하다,-1
고단하여,-1
고달프다,-1
고도화,-1
고도화되다,-1
고되다,-1
고생스러운,-1
고생하거나 두려워하여,-1
고약하게,-1
고약하다,-1
고약함,-1
고약해서,-1
고충,-1
고통,-1
고통스러운,-1
고통스러운 상태,-1
고통스러운 일이나,-1
고통스럽거나,-1
고통스럽게,-1
고통스럽게 일함,-1
고통스럽다,-1
고통을,-1
고통을 당하여,-1
고통을 이른다,-1
고통을 주다,-1
고통을 주며,-1
고통이,-1
고통이 지속되는,-1
고통이나,-1
고통이나 곤란에,-1
고통이나 시달림으로,-1
고통이나 어려운,-1
고통이라는,-1
고통이라는 뜻으로,-1
고한,-1
곤궁하고,-1
곤궁하다,-1
곤혹스러운,-1
곤혹스럽다,-1
골골 앓아서,-1
골나다,-1
골리는,-1
골리는 짓,-1
골이 나게,-1
곰팡이,-1
공개적으로 비난하다,-1
공격받다,-1
공연히 미워하고,-1
공포,-1
공포나 긴장으로,-1
공포증,-1
과음,-1
과장되다,-1
과장된,-1
과체중,-1
관절염,-1
괄시,-1
괄시하다,-1
괘씸하고 얄미운,-1
괘씸하고 얄밉다,-1
괘씸한,-1
괘씸한 데가,-1
괴로운,-1
괴로운 느낌,-1
괴로운 느낌을,-1
괴로운 모양,-1
괴로운 상태가,-1
괴로운 상태로,-1
괴로운 상태에,-1
괴로울,-1
괴로울 때에,-1
괴로움,-1
괴로움과,-1
괴로움과 아픔,-1
괴로움을,-1
