Keyword,Frequency,sentiment
깨끗하다,1.0,positive
친절하다,0.7693266832917706,positive
깔끔하다,0.6209476309226932,positive
편하다,0.4900249376558603,positive
넓다,0.3528678304239401,positive
만족하다,0.243142144638404,positive
괜찮다,0.2256857855361596,positive
조용하다,0.1907730673316708,positive
편안하다,0.1596009975062344,positive
아쉽다,0.1371571072319202,negative
저렴하다,0.1321695760598503,positive
가깝다,0.1209476309226932,positive
청결하다,0.1209476309226932,positive
안되다,0.1047381546134663,negative
불편하다,0.1034912718204488,negative
그렇다,0.1034912718204488,neutral
따뜻하다,0.098503740648379,positive
쾌적하다,0.0822942643391521,positive
오래되다,0.0822942643391521,negative
만족스럽다,0.0685785536159601,positive
용하다,0.0660847880299251,positive
인하다,0.0648379052369077,neutral
맛있다,0.0536159600997506,positive
나쁘다,0.0486284289276807,negative
편리하다,0.0461346633416458,positive
급하다,0.041147132169576,negative
굉장하다,0.0374064837905236,positive
작다,0.0374064837905236,negative
심하다,0.0374064837905236,negative
약하다,0.0349127182044887,negative
적당하다,0.0349127182044887,positive
덥다,0.0349127182044887,negative
다르다,0.0324189526184538,neutral
박하다,0.0324189526184538,negative
힘들다,0.0324189526184538,negative
이렇다,0.0299251870324189,neutral
예쁘다,0.0299251870324189,positive
즐겁다,0.0286783042394014,positive
낡다,0.027431421446384,negative
좁다,0.027431421446384,negative
시원하다,0.0261845386533665,positive
간단하다,0.0261845386533665,neutral
이쁘다,0.0249376558603491,positive
푹신하다,0.0249376558603491,positive
시끄럽다,0.0249376558603491,negative
넉넉하다,0.0249376558603491,positive
완벽하다,0.0249376558603491,positive
딱딱하다,0.0224438902743142,neutral
아늑하다,0.0224438902743142,positive
새롭다,0.0224438902743142,neutral
착하다,0.0224438902743142,positive
높다,0.0211970074812967,positive
비싸다,0.0199501246882793,negative
곱다,0.0199501246882793,positive
부족하다,0.0199501246882793,negative
더럽다,0.0187032418952618,negative
뜨겁다,0.0187032418952618,neutral
좋아하다,0.0174563591022443,positive
불친절하다,0.0174563591022443,negative
아프다,0.0162094763092269,negative
멀다,0.0162094763092269,negative
계시다,0.0162094763092269,neutral
상당하다,0.0149625935162094,neutral
부탁드리다,0.0149625935162094,neutral
야하다,0.0149625935162094,neutral
신기하다,0.013715710723192,positive
똑같다,0.013715710723192,neutral
어렵다,0.013715710723192,negative
흠잡다,0.0124688279301745,neutral
아깝다,0.0124688279301745,negative
행복하다,0.0124688279301745,positive
충분하다,0.0112219451371571,positive
안좋다,0.0112219451371571,negative
피곤하다,0.0112219451371571,negative
쎄다,0.0112219451371571,neutral
포근하다,0.0112219451371571,positive
추하다,0.0099750623441396,negative
불쾌하다,0.0099750623441396,negative
고맙다,0.0099750623441396,positive
놀래다,0.0099750623441396,neutral
습하다,0.0099750623441396,negative
재밌다,0.0099750623441396,positive
훌륭하다,0.0099750623441396,positive
이상하다,0.0099750623441396,negative
어둡다,0.0087281795511221,negative
한적하다,0.0087281795511221,positive
기대하다,0.0087281795511221,positive
예민하다,0.0087281795511221,neutral
죄송하다,0.0087281795511221,negative
꼼꼼하다,0.0087281795511221,positive
딱이다,0.0087281795511221,positive
무섭다,0.0087281795511221,negative
답답하다,0.0087281795511221,negative
힘드다,0.0087281795511221,neutral
가볍다,0.0087281795511221,positive
멋지다,0.0087281795511221,positive
찝찝하다,0.0087281795511221,negative
특별하다,0.0074812967581047,positive
흔쾌하다,0.0074812967581047,positive
싫다,0.0074812967581047,negative
낮다,0.0074812967581047,neutral
비슷하다,0.0074812967581047,neutral
뽀송하다,0.0074812967581047,positive
다양하다,0.0074812967581047,positive
실하다,0.0074812967581047,positive
고급스럽다,0.0074812967581047,positive
재미있다,0.0062344139650872,positive
왠만하다,0.0062344139650872,neutral
다행하다,0.0062344139650872,positive
귀찮다,0.0062344139650872,negative
솔직하다,0.0062344139650872,positive
중요하다,0.0062344139650872,positive
쉽다,0.0062344139650872,positive
설치다,0.0049875311720698,neutral
궁금하다,0.0049875311720698,neutral
든든하다,0.0049875311720698,positive
갑작스럽다,0.0049875311720698,neutral
반갑다,0.0049875311720698,positive
희다,0.0049875311720698,positive
빈약하다,0.0049875311720698,negative
아름답다,0.0049875311720698,positive
바쁘다,0.0049875311720698,neutral
분명하다,0.0049875311720698,positive
지저분하다,0.0049875311720698,negative
가득하다,0.0049875311720698,positive
춥다,0.0049875311720698,negative
실망하다,0.0049875311720698,negative
은은하다,0.0049875311720698,positive
느리다,0.0049875311720698,negative
웬만하다,0.0049875311720698,neutral
귀엽다,0.0049875311720698,positive
세련되다,0.0049875311720698,positive
빠르다,0.0037406483790523,positive
엄청나다,0.0037406483790523,neutral
짧다,0.0037406483790523,negative
여전하다,0.0037406483790523,neutral
검다,0.0037406483790523,negative
드럽다,0.0037406483790523,negative
단단하다,0.0037406483790523,neutral
불안하다,0.0037406483790523,negative
특이하다,0.0037406483790523,positive
애매하다,0.0037406483790523,neutral
마땅하다,0.0037406483790523,neutral
드물다,0.0037406483790523,neutral
얇다,0.0037406483790523,neutral
황당하다,0.0037406483790523,negative
필요없다,0.0037406483790523,negative
당연하다,0.0037406483790523,neutral
민감하다,0.0037406483790523,neutral
반하다,0.0037406483790523,positive
불량하다,0.0037406483790523,negative
곤란하다,0.0037406483790523,negative
무심하다,0.0037406483790523,negative
건강하다,0.0037406483790523,positive
탁월하다,0.0037406483790523,positive
차갑다,0.0037406483790523,neutral
아담하다,0.0037406483790523,neutral
확실하다,0.0037406483790523,positive
동일하다,0.0037406483790523,neutral
뽀송뽀송하다,0.0037406483790523,positive
길다,0.0037406483790523,neutral
안락하다,0.0037406483790523,positive
대단하다,0.0037406483790523,positive
미치다,0.0037406483790523,neutral
신속하다,0.0024937655860349,positive
유용하다,0.0024937655860349,positive
고프다,0.0024937655860349,neutral
붉다,0.0024937655860349,neutral
안전하다,0.0024937655860349,positive
유일하다,0.0024937655860349,neutral
널찍하다,0.0024937655860349,positive
뜨끈하다,0.0024937655860349,neutral
안녕하다,0.0024937655860349,neutral
열악하다,0.0024937655860349,negative
간편하다,0.0024937655860349,positive
싫어하다,0.0024937655860349,negative
강하다,0.0024937655860349,positive
부드럽다,0.0024937655860349,positive
귀하다,0.0024937655860349,positive
덜하다,0.0024937655860349,neutral
복잡하다,0.0024937655860349,negative
심각하다,0.0024937655860349,negative
쌀쌀하다,0.0024937655860349,neutral
평범하다,0.0024937655860349,neutral
밤늦다,0.0024937655860349,neutral
상쾌하다,0.0024937655860349,positive
우수하다,0.0024937655860349,positive
화사하다,0.0024937655860349,positive
섬세하다,0.0024937655860349,positive
딱좋다,0.0024937655860349,positive
빨르다,0.0024937655860349,neutral
알맞다,0.0024937655860349,positive
구리다,0.0024937655860349,neutral
번거롭다,0.0024937655860349,negative
끝내주다,0.0024937655860349,positive
부럽다,0.0024937655860349,negative
뻔하다,0.0024937655860349,negative
적합하다,0.0024937655860349,positive
풍부하다,0.0024937655860349,positive
이러하다,0.0024937655860349,neutral
