Keyword,Frequency,sentiment
좋다,3298,positive
있다,1650,neutral
친절하다,1328,positive
깨끗하다,872,positive
없다,485,negative
깔끔하다,467,positive
같다,442,neutral
편하다,338,positive
이다,326,neutral
넓다,277,positive
조용하다,251,positive
아쉽다,221,negative
많다,212,positive
따뜻하다,205,positive
가깝다,189,positive
만족하다,178,positive
예쁘다,164,positive
불편하다,150,negative
괜찮다,142,positive
아니다,141,neutral
그렇다,132,neutral
즐겁다,121,positive
청결하다,121,positive
편안하다,114,positive
이쁘다,103,positive
맛있다,94,positive
좋아하다,77,positive
저렴하다,77,positive
재밌다,74,positive
만족스럽다,66,positive
안되다,66,negative
필요하다,64,neutral
멀다,57,negative
행복하다,57,positive
덥다,56,negative
넉넉하다,53,positive
가능하다,50,positive
시원하다,48,positive
귀엽다,47,positive
쾌적하다,46,positive
작다,46,negative
급하다,43,negative
오래되다,43,negative
춥다,42,negative
힘들다,42,negative
완벽하다,40,positive
높다,38,positive
한적하다,35,positive
좁다,35,negative
충분하다,34,positive
굉장하다,34,positive
이렇다,34,neutral
부족하다,33,negative
재미있다,32,positive
나쁘다,31,negative
인하다,30,neutral
멋지다,30,positive
비싸다,30,negative
시끄럽다,29,negative
다르다,25,neutral
차갑다,25,neutral
심하다,24,negative
아늑하다,24,positive
뜨겁다,23,neutral
깊다,22,neutral
어렵다,22,negative
더럽다,22,negative
실하다,21,positive
기대하다,21,positive
미치다,21,neutral
솔직하다,21,positive
편리하다,20,positive
약하다,20,negative
불친절하다,19,negative
적당하다,18,positive
어떻다,17,negative
끝내주다,17,positive
신나다,17,positive
추하다,16,negative
굳다,16,neutral
착하다,16,positive
아름답다,16,positive
훌륭하다,15,positive
푹신하다,15,positive
낡다,15,negative
스럽다,15,neutral
계시다,15,neutral
간단하다,14,positive
길다,14,neutral
예민하다,14,neutral
아깝다,14,negative
웬만하다,14,neutral
건강하다,14,positive
놀래다,13,neutral
뜨끈하다,13,neutral
널찍하다,13,positive
무섭다,13,negative
죄송하다,13,negative
멋있다,13,positive
싫다,12,negative
딱딱하다,12,negative
