숙소번호,모텔명,리뷰별 상세,추천여부,상위5긍정단어,상위5부정단어
1,순천 순천만S호텔,"[{'리뷰순': 1, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 4, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 2, '부정단어 개수': 1}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",매우추천숙소,"만족, 순천만, 부모님, 스파, 친절",먼지
2,"순천 순천만뉴빌리지펜션(감성숙소,순천만 차로3분)","[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 2, '부정단어 개수': 1}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 4, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",매우추천숙소,"복층, 세심, 배려, 펜션, 감동","모시, 계단"
3,순천 순천만어린왕자펜션,"[{'리뷰순': 1, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 7, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 5, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 5, '부정단어 개수': 1}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 10, '부정단어 개수': 1}, {'리뷰순': 18, '긍정단어 개수': 4, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 4, '부정단어 개수': 0}]",매우추천숙소,"펜션, 순천만, 추천, 커피, 쿠폰","눈치, 모시, 고집, 말투"
4,"순천 순천만들마루펜션(순천만국제정원도보1분,단체)","[{'리뷰순': 1, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 14, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 1, '부정단어 개수': 2}, {'리뷰순': 4, '긍정단어 개수': 2, '부정단어 개수': 2}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 6, '부정단어 개수': 3}, {'리뷰순': 15, '긍정단어 개수': 2, '부정단어 개수': 1}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 8, '부정단어 개수': 1}, {'리뷰순': 20, '긍정단어 개수': 1, '부정단어 개수': 0}]",매우추천숙소,"라면, 번창, 추억, 덕분, 예정","환기, 절대, 냄새, 단점, 당황"
5,순천 샤인호텔,"[{'리뷰순': 1, '긍정단어 개수': 3, '부정단어 개수': 3}, {'리뷰순': 2, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 5, '긍정단어 개수': 2, '부정단어 개수': 3}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 2}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 2}, {'리뷰순': 8, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 4, '부정단어 개수': 1}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 2, '부정단어 개수': 0}]",매우추천숙소,"만족, 주차, 고요, 전자레인지, 참고","소음, 고장, 아쉬움, 불만족, 의문"
6,구례 지리산호수리조트펜션,"[{'리뷰순': 1, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 1, '부정단어 개수': 4}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 4, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 4, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",매우추천숙소,"경관, 최고, 동반, 방도, 성공","실망, 냄새, 환기"
7,순천 순천만숲펜션,"[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 6, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 4, '부정단어 개수': 1}, {'리뷰순': 15, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 1, '부정단어 개수': 0}]",매우추천숙소,"구비, 방도, 펜션, 순천만, 친구","모시, 한숨"
8,구례 화수목펜션,"[{'리뷰순': 1, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 5, '부정단어 개수': 2}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 5, '부정단어 개수': 1}, {'리뷰순': 5, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 5, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",매우추천숙소,"계곡, 펜션, 추천, 테라스, 방도","모시, 계단, 벌레"
9,순천 순천만스파빌펜션,"[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 6}, {'리뷰순': 2, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 3, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 5, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 3}, {'리뷰순': 8, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 12, '긍정단어 개수': 1, '부정단어 개수': 2}, {'리뷰순': 13, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 1, '부정단어 개수': 3}, {'리뷰순': 20, '긍정단어 개수': 2, '부정단어 개수': 0}]",매우추천숙소,"스파, 순천만, 친절, 추석, 가족","최악, 벌레, 냄새, 방음, 별로"
10,순천 더베이호텔앤풀빌라,"[{'리뷰순': 1, '긍정단어 개수': 3, '부정단어 개수': 1}, {'리뷰순': 2, '긍정단어 개수': 5, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 4, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 4, '부정단어 개수': 1}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 2, '부정단어 개수': 1}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",매우추천숙소,"부모님, 물놀이, 복층, 항상, 제대로","재사용, 단점, 냄새, 소음"
