숙소번호,모텔명,추천/비추천,긍정단어,부정단어,긍정비율,부정비율
1,순천 순천만S호텔,완전추천,14,1,93.33,6.67
2,"순천 순천만뉴빌리지펜션(감성숙소,순천만 차로3분)",완전추천,24,2,92.31,7.69
3,순천 순천만어린왕자펜션,완전추천,37,4,90.24,9.76
4,"순천 순천만들마루펜션(순천만국제정원도보1분,단체)",보통추천,37,7,84.09,15.91
5,순천 샤인호텔,비추천,18,12,60.0,40.0
6,구례 지리산호수리조트펜션,완전추천,21,3,87.5,12.5
7,순천 순천만숲펜션,완전추천,26,2,92.86,7.14
8,구례 화수목펜션,완전추천,30,3,90.91,9.09
9,순천 순천만스파빌펜션,비추천,18,14,56.25,43.75
10,순천 더베이호텔앤풀빌라,보통추천,21,4,84.0,16.0
11,순천 여행스케치펜션,완전추천,24,3,88.89,11.11
12,순천 더소풍펜션,비추천,11,10,52.38,47.62
13,순천 라온하우스애견펜션,매우완전추천,20,0,100.0,0.0
14,순천 힐링펜션,보통추천,12,5,70.59,29.41
15,순천 순천만여행펜션,보통추천,18,5,78.26,21.74
16,순천 천지글램핑펜션,비추천,14,10,58.33,41.67
17,순천 순천만그리고나펜션,매우완전추천,26,0,100.0,0.0
18,순천 순천만생태펜션,매우완전추천,30,0,100.0,0.0
19,순천 순천만포시즌펜션,완전추천,30,2,93.75,6.25
20,순천 뜰애펜션,완전추천,23,3,88.46,11.54
21,순천 순천만로맨스펜션,보통추천,12,4,75.0,25.0
22,구례 지리산녹차별펜션,완전추천,26,3,89.66,10.34
23,구례 섬진강나루펜션,보통추천,15,5,75.0,25.0
24,순천 순천만갈대숲펜션,보통추천,19,6,76.0,24.0
25,구례 지리산나무향기펜션,완전추천,35,2,94.59,5.41
26,구례 지리산쉬리펜션,보통추천,37,7,84.09,15.91
27,구례 지리산로시난테하우스펜션,완전추천,26,3,89.66,10.34
28,순천 달벗한옥펜션,보통추천,25,5,83.33,16.67
29,순천 베네치아호텔,완전추천,34,2,94.44,5.56
30,순천 펜션호박펜션,완전추천,24,4,85.71,14.29
31,구례 리틀프린스펜션,완전추천,22,2,91.67,8.33
32,순천 순천만정문펜션,완전추천,18,3,85.71,14.29
33,구례 지리산풍경채펜션,보통추천,30,7,81.08,18.92
34,순천 최가네한옥펜션,보통추천,19,4,82.61,17.39
35,순천 순천만힐링캠프펜션,보통추천,21,6,77.78,22.22
36,순천 순천만에코빌리지2펜션,보통추천,29,6,82.86,17.14
37,순천 오롯하다키즈풀빌라,보통추천,26,5,83.87,16.13
38,순천 순천만갈대밭펜션,비추천,7,7,50.0,50.0
39,구례 햇살좋은아침펜션,완전추천,38,4,90.48,9.52
40,순천 사계절해오름펜션,보통추천,16,5,76.19,23.81
