숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/비품만족도,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/비품만족도순
1,나주 그랜드 호텔,전라남도 나주시 배멧2길 19,완전추천,비추천,2,4.8,4.8,4.7,4.8,4.8,4.78,4.77,4.78,4.78
2,나주 LAKE 45 호텔,전라남도 나주시 배멧3길 5-4,보통추천,보통추천,2,4.9,4.8,4.8,4.8,4.9,4.82,4.82,4.82,4.83
3,나주 브리즈 무인호텔,전라남도 나주시 송월2길 20 (송월동),매우완전추천,비추천,2,4.6,4.8,4.6,4.6,4.6,4.67,4.64,4.64,4.64
4,나주 호텔 드림,전라남도 나주시 배멧3길 11 (빛가람동),매우완전추천,매우완전추천,5,4.8,4.8,4.8,4.8,4.7,4.78,4.78,4.78,4.77
5,나주 숲 무인호텔,전라남도 나주시 금천면 금영로 744,완전추천,매우완전추천,4,4.6,4.7,4.7,4.5,4.7,4.66,4.66,4.63,4.66
6,나주 라온팰리스 호텔,전라남도 나주시 배멧3길 5-20,매우완전추천,매우완전추천,5,4.9,4.9,4.9,4.8,4.9,4.88,4.88,4.87,4.88
7,나주 듀플렉스 레지던스 호텔,전라남도 나주시 배멧2길 13,완전추천,완전추천,3,4.8,4.8,4.9,4.8,4.7,4.8,4.81,4.8,4.79
8,나주 마루오호텔,전라남도 나주시 배멧3길 5-8,완전추천,보통추천,2,4.9,4.8,4.9,4.9,4.8,4.84,4.86,4.86,4.84
9,나주 트럼프 무인텔,전라남도 나주시 내동길 9-6 (송월동),비추천,비추천,1,4.6,4.8,4.7,4.6,4.7,4.71,4.7,4.69,4.7
10,영광 팅커벨 무인호텔,전라남도 영광군 법성면 법성포로 27,보통추천,비추천,2,4.7,4.6,4.5,4.6,4.6,4.58,4.57,4.58,4.58
11,나주 호텔 뷰,전라남도 나주시 중야2길 20,보통추천,비추천,2,4.7,4.6,4.6,4.7,4.6,4.62,4.62,4.63,4.62
12,나주 웰컴 비즈니스,전라남도 나주시 완사천길 1-8,완전추천,보통추천,2,4.5,4.6,4.8,4.7,4.6,4.67,4.69,4.68,4.67
13,나주 하이텔,전라남도 나주시 왕건길 42,완전추천,비추천,2,4.7,4.6,4.5,4.3,4.4,4.47,4.46,4.43,4.44
14,영광 707 미니호텔,전라남도 영광군 법성면 법성포로 26,보통추천,비추천,2,4.9,4.8,4.9,4.9,4.8,4.84,4.86,4.86,4.84
15,나주 웨스턴 호텔,전라남도 나주시 배멧3길 5-18,매우완전추천,보통추천,2,4.7,4.8,4.7,4.6,4.8,4.73,4.72,4.71,4.73
16,영광 CC 무인텔,전남 영광군 백수읍 해안로5길 31,완전추천,완전추천,3,4.7,4.7,4.7,4.5,4.6,4.63,4.63,4.61,4.62
17,나주 M,전라남도 나주시 오포길 10,매우완전추천,매우완전추천,5,5,4.9,4.9,5,4.9,4.92,4.92,4.93,4.92
18,나주 궁 무인텔,전라남도 나주시 송월2길 8 (송월동),비추천,비추천,1,3.9,4.2,4,4.1,4,4.09,4.07,4.08,4.07
19,영광 더원 호텔,전라남도 영광군 법성면 법성포로 32,보통추천,비추천,2,4.5,4.4,4.6,4.5,4.5,4.49,4.51,4.5,4.5
20,영광 하운드 영광터미널,전라남도 영광군 영광읍 천년로12길 6,매우완전추천,매우완전추천,5,4.8,4.8,4.9,4.8,4.8,4.82,4.83,4.82,4.82
21,장성 휴,전라남도 장성군 장성읍 역전로 161,비추천,비추천,1,3.9,4.2,3.6,3.4,4,3.84,3.78,3.76,3.82
22,나주 명성리버텔,전라남도 나주시 영산포로 169 (이창동),보통추천,완전추천,2,5,5,5,5,5,5,5,5,5
23,나주 힐 모텔,전라남도 나주시 완사천길 3,비추천,비추천,1,4.8,4.7,4.8,4.8,4.8,4.77,4.78,4.78,4.78
24,영광 알로하 무인텔,전라남도 영광군 백수읍 해안로 608-6,매우완전추천,완전추천,4,4.6,4.8,4.7,4.7,4.9,4.78,4.77,4.77,4.79
