숙소번호,모텔명,주소,추천여부_3,추천여부_2,추천여부_최종,전체평점,평점/친절도,평점/청결도,평점/편의성,평점/주변여행,평점순/친절도순,평점순/청결도순,평점순/편의성순,평점순/주변여행순
1,순천 순천만S호텔,전라남도 순천시 팔마2길 61,매우완전추천,완전추천,4,4.8,4.8,4.7,4.8,4.8,4.78,4.77,4.78,4.78
2,"순천 순천만뉴빌리지펜션(감성숙소,순천만 차로3분)",전라남도 순천시 순천만길 350,매우완전추천,완전추천,4,4.8,4.9,4.9,4.8,4.8,4.86,4.86,4.84,4.84
3,순천 순천만어린왕자펜션,전라남도 순천시 순천만길 572,매우완전추천,완전추천,4,5,5,4.9,4.8,5,4.93,4.92,4.91,4.93
4,"순천 순천만들마루펜션(순천만국제정원도보1분,단체)",전라남도 순천시 순천만길 496,매우완전추천,보통추천,2,4.5,4.6,4.5,4.3,4.7,4.53,4.52,4.5,4.54
5,순천 샤인호텔,전라남도 순천시 남신월길 4,매우완전추천,비추천,2,4,4.8,3.8,3,4.8,4.18,4.07,3.98,4.18
6,구례 지리산호수리조트펜션,전라남도 구례군 산동면 구만제로 610,매우완전추천,완전추천,4,4.6,4.6,4.5,4.6,4.5,4.56,4.54,4.56,4.54
7,순천 순천만숲펜션,전라남도 순천시 순천만길 374-1,매우완전추천,완전추천,4,4.9,4.9,5,4.7,4.8,4.86,4.87,4.83,4.84
8,구례 화수목펜션,전라남도 구례군 토지면 섬진강대로 4310-50,매우완전추천,완전추천,4,5,5,5,4.7,4.9,4.91,4.91,4.88,4.9
9,순천 순천만스파빌펜션,전라남도 순천시 순천만길 338,매우완전추천,비추천,2,4,4.3,3.6,3.9,4.2,4.03,3.96,3.99,4.02
10,순천 더베이호텔앤풀빌라,전라남도 순천시 동너리길170,매우완전추천,보통추천,2,4.6,4.8,4.6,4.5,4.6,4.64,4.62,4.61,4.62
11,순천 여행스케치펜션,전라남도 순천시 순천만길 480,매우완전추천,완전추천,4,4.9,4.9,4.9,4.8,4.9,4.88,4.88,4.87,4.88
