숙소번호,모텔명,리뷰별 상세,추천여부,상위5긍정단어,상위5부정단어
1,나주 그랜드 호텔,"[{'리뷰순': 1, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 2, '부정단어 개수': 3}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",추천숙소,"조식, 근방, 산책, 친절, 지금","냄새, 실망, 먼지, 단점, 배수"
2,나주 LAKE 45 호텔,"[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 2, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 4, '부정단어 개수': 1}, {'리뷰순': 4, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",보통숙소,"굿굿, 기대, 스타일러스, 살균, 감탄","먼지, 냄새"
3,나주 브리즈 무인호텔,"[{'리뷰순': 1, '긍정단어 개수': 7, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 3}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 1, '부정단어 개수': 2}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 2, '부정단어 개수': 1}, {'리뷰순': 13, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",매우추천숙소,"항상, 인테리어, 방도, 안정, 최고","불친절, 없다, 담배, 냄새, 재떨이"
4,나주 호텔 드림,"[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 4, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 1, '부정단어 개수': 0}]",매우추천숙소,"방도, 음식점, 맛집, 묵고, 자주",
5,나주 숲 무인호텔,"[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",추천숙소,"자주, 항상, 방도, 묵고, 친정",
6,나주 라온팰리스 호텔,"[{'리뷰순': 1, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",매우추천숙소,"로비, 덕분, 꿀잠, 최고, 기회",
7,나주 듀플렉스 레지던스 호텔,"[{'리뷰순': 1, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",추천숙소,"최고, 만족, 강추, 신축, 먹거리","거미줄, 오류"
8,나주 마루오호텔,"[{'리뷰순': 1, '긍정단어 개수': 2, '부정단어 개수': 1}, {'리뷰순': 2, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 3, '긍정단어 개수': 2, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 3, '부정단어 개수': 0}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 1, '부정단어 개수': 0}]",추천숙소,"항상, 넓이, 굿굿, 만족, 인테리어","방음, 먼지, 모시"
9,나주 트럼프 무인텔,"[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 1, '부정단어 개수': 1}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 2}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 0, '부정단어 개수': 1}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 1, '부정단어 개수': 0}]",비추천숙소,"해결, 좋습니닽, 방도, 역앞","불편, 담배, 냄새, 안감"
10,영광 팅커벨 무인호텔,"[{'리뷰순': 1, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 2, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 3, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 4, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 5, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 6, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 7, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 8, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 9, '긍정단어 개수': 2, '부정단어 개수': 1}, {'리뷰순': 10, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 11, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 12, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 13, '긍정단어 개수': 2, '부정단어 개수': 4}, {'리뷰순': 14, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 15, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 16, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 17, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 18, '긍정단어 개수': 0, '부정단어 개수': 0}, {'리뷰순': 19, '긍정단어 개수': 1, '부정단어 개수': 0}, {'리뷰순': 20, '긍정단어 개수': 0, '부정단어 개수': 0}]",보통숙소,"컨디션, 가족, 주차, 피로, 필수품","머리카락, 고장, 구석, 얼룩"
