Keyword,Frequency,sentiment
좋다,3218,positive
깨끗하다,1045,positive
친절하다,847,positive
깔끔하다,647,positive
편하다,521,positive
없다,449,negative
넓다,354,positive
괜찮다,256,positive
만족하다,241,positive
조용하다,214,positive
많다,172,positive
편안하다,160,positive
저렴하다,152,positive
아쉽다,139,negative
청결하다,120,positive
가깝다,120,positive
따뜻하다,117,positive
오래되다,116,negative
안되다,112,negative
불편하다,111,negative
아니다,104,neutral
쾌적하다,83,positive
만족스럽다,76,positive
나쁘다,54,negative
맛있다,53,positive
편리하다,47,positive
심하다,43,negative
약하다,39,negative
굉장하다,38,positive
힘들다,38,negative
작다,37,negative
필요하다,36,neutral
덥다,34,negative
적당하다,34,positive
다르다,33,neutral
굳다,31,neutral
딱딱하다,30,negative
가능하다,30,positive
새롭다,29,neutral
예쁘다,29,positive
간단하다,28,neutral
시원하다,28,positive
착하다,28,positive
낡다,28,negative
즐겁다,27,positive
아늑하다,27,positive
좁다,27,negative
높다,26,positive
푹신하다,26,positive
넉넉하다,25,positive
시끄럽다,24,negative
완벽하다,24,positive
이쁘다,24,positive
부족하다,23,negative
비싸다,22,negative
더럽다,21,negative
불친절하다,20,negative
멀다,20,negative
좋아하다,19,positive
춥다,17,negative
훌륭하다,16,positive
곱다,16,positive
뜨겁다,16,neutral
상당하다,15,neutral
어떻다,14,neutral
어렵다,14,negative
이상하다,14,negative
아깝다,14,negative
똑같다,13,neutral
재밌다,12,positive
고맙다,11,positive
낮다,11,neutral
쎄다,11,neutral
행복하다,11,positive
지저분하다,11,negative
찝찝하다,10,negative
놀래다,10,neutral
습하다,10,negative
포근하다,10,positive
충분하다,10,positive
어둡다,10,negative
안좋다,10,negative
추하다,9,negative
멋지다,9,positive
원하다,9,neutral
꼼꼼하다,9,positive
힘드다,9,neutral
불쾌하다,9,negative
딱이다,9,positive
설치다,9,neutral
답답하다,8,negative
필요없다,8,negative
싫다,8,negative
기대하다,8,positive
엄청나다,7,neutral
여전하다,7,neutral
중요하다,7,positive
예민하다,7,neutral
흔쾌하다,7,positive
한적하다,7,positive
솔직하다,6,positive
특별하다,6,positive
미치다,6,neutral
고급스럽다,6,positive
빠르다,6,positive
뽀송하다,6,positive
다양하다,6,positive
왠만하다,6,neutral
실망하다,6,negative
당연하다,6,neutral
웬만하다,5,neutral
세련되다,5,positive
반갑다,5,positive
든든하다,5,positive
뜨끈하다,5,neutral
상관없다,5,neutral
차갑다,5,neutral
재미있다,5,positive
다행하다,5,positive
궁금하다,4,neutral
느리다,4,negative
애매하다,4,neutral
건강하다,4,positive
아름답다,4,positive
귀엽다,4,positive
확실하다,4,positive
은은하다,4,positive
드물다,4,neutral
갑작스럽다,4,neutral
안락하다,4,positive
불량하다,4,negative
민감하다,4,neutral
분명하다,4,positive
가득하다,4,positive
환하다,4,positive
번거롭다,4,negative
단단하다,4,neutral
불안하다,4,negative
마땅하다,4,neutral
얇다,4,neutral
무심하다,4,negative
바쁘다,4,neutral
평범하다,4,neutral
딱좋다,4,positive
빈약하다,4,negative
대단하다,3,positive
친근하다,3,positive
끝내주다,3,positive
동일하다,3,neutral
탁월하다,3,positive
널찍하다,3,positive
반하다,3,positive
안남다,3,neutral
부실하다,3,neutral
길다,3,neutral
짧다,3,negative
뽀송뽀송하다,3,positive
특이하다,3,positive
미안하다,3,negative
시커멓다,3,neutral
드럽다,3,negative
황당하다,3,negative
심각하다,3,negative
아담하다,3,neutral
곤란하다,3,negative
